id;start_date;end_date;language
1;2022-11-22T18:53:09;2022-11-22T16:43:24;ENGLISH
2;2022-11-22T04:20:44;2022-11-22T13:46:13;FRENCH
3;2022-11-22T14:16:56;2022-11-22T02:22:04;SPANISH
4;2022-11-22T18:47:45;2022-11-22T00:14:04;FRENCH
5;2022-11-22T21:04:08;2022-11-22T05:23:06;ENGLISH
6;2022-11-22T06:34:51;2022-11-22T20:35:11;SPANISH
7;2022-11-22T14:38:39;2022-11-22T01:12:48;FRENCH
8;2022-11-22T05:04:32;2022-11-22T01:40:21;FRENCH
9;2022-11-22T05:56:10;2022-11-22T17:27:36;FRENCH
10;2022-11-22T01:53:08;2022-11-22T18:50:37;FRENCH
